batter,venue,bowling_team,batting_team,total_runs,avg_runs,balls_faced,matches_played,seasons_played,strike_rate,recent_avg,recent_balls,recent_strike_rate,vs_team_avg,Pitch Type_x,Pitch Type_y,Bounce Level,Spin Assistance,Seam Movement,Avg 1st Innings Score_x,Avg 1st Innings Score_y,Avg 2nd Innings Score,Pace Economy,Spin Economy,Left-Hand Batter Avg,Right-Hand Batter Avg,Batting 1st Win %,Chasing Win %,Dew Impact,Ground Shape,Altitude/Geography,Square Boundary (m),Boundary Dimensions,Weather Condition
KL Rahul,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,35.0,1.4583333333333333,24,2,2,145.83333333333331,0.8,5,16.0,29.6,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
AJ Finch,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,2.0,0.5,4,1,1,50.0,1.2,5,24.0,35.5,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
MA Agarwal,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,23.0,0.92,25,2,2,92.0,1.0,5,20.0,16.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
KK Nair,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,34.0,1.0303030303030303,33,1,1,103.03030303030303,1.2,5,24.0,42.833333333333336,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
Yuvraj Singh,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,14.0,0.8235294117647058,17,1,1,82.35294117647058,0.6,5,12.0,27.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
DA Miller,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,33.0,1.32,25,2,2,132.0,1.0,5,20.0,22.666666666666668,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
R Ashwin,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,22.0,0.9565217391304348,23,2,2,95.65217391304348,0.2,5,4.0,6.6,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
AJ Tye,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,3.0,0.3333333333333333,9,1,1,33.33333333333333,1.2,5,24.0,3.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
BB Sran,Arun Jaitley Stadium,Delhi Daredevils,Kings XI Punjab,0.0,0.0,1,1,1,0.0,0.8,5,16.0,0.5,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
PP Shaw,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,364.0,1.4,260,14,2,140.0,1.0,5,20.0,9.4,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
G Gambhir,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,4.0,0.25,16,1,1,25.0,0.4,5,8.0,31.73913043478261,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
GJ Maxwell,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,80.0,1.1764705882352942,68,6,1,117.64705882352942,2.4,5,48.0,6.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
RR Pant,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,478.0,1.5222929936305734,314,14,2,152.22929936305732,1.6,5,32.0,16.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
SS Iyer,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,492.0,1.2392947103274559,397,14,2,123.92947103274558,3.6,5,72.0,27.09090909090909,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
DT Christian,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,6.0,0.5454545454545454,11,1,1,54.54545454545454,1.4,5,27.999999999999996,18.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
R Tewatia,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,40.0,1.0,40,3,2,100.0,1.4,5,27.999999999999996,25.5,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
LE Plunkett,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,1.0,0.3333333333333333,3,2,1,33.33333333333333,0.3333333333333333,3,11.11111111111111,0.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
A Mishra,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,7.0,0.6363636363636364,11,2,2,63.63636363636363,0.8,5,16.0,4.5,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
PP Shaw,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Daredevils,364.0,1.4,260,14,2,140.0,1.0,5,20.0,38.90909090909091,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
C Munro,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Daredevils,36.0,1.2413793103448276,29,3,2,124.13793103448276,1.8,5,36.0,33.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
SS Iyer,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Daredevils,492.0,1.2392947103274559,397,14,2,123.92947103274558,3.6,5,72.0,32.57142857142857,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
RR Pant,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Daredevils,478.0,1.5222929936305734,314,14,2,152.22929936305732,1.6,5,32.0,24.0625,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
GJ Maxwell,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Daredevils,80.0,1.1764705882352942,68,6,1,117.64705882352942,2.4,5,48.0,24.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
CA Lynn,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,25.0,1.0416666666666667,24,2,2,104.16666666666667,1.2,5,24.0,18.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
SP Narine,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,26.0,2.888888888888889,9,1,1,288.88888888888886,2.2,5,44.00000000000001,7.2,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
RV Uthappa,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,12.0,1.5,8,2,2,150.0,0.2,5,4.0,27.952380952380953,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
N Rana,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,9.0,1.0,9,2,2,100.0,1.8,5,36.0,25.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
KD Karthik,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,68.0,1.2363636363636363,55,2,2,123.63636363636363,0.6,5,12.0,31.5,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
Shubman Gill,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,41.0,1.2058823529411764,34,2,2,120.58823529411764,0.8,5,16.0,21.5,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
AD Russell,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,106.0,1.7377049180327868,61,2,2,173.77049180327867,0.6,5,12.0,26.75,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
Shivam Mavi,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,0.0,0.0,3,1,1,0.0,0.4,5,8.0,0.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
PP Chawla,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,14.0,1.5555555555555556,9,2,2,155.55555555555557,1.0,5,20.0,6.0,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
MG Johnson,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,12.0,2.0,6,1,1,200.0,2.2,5,44.00000000000001,7.666666666666667,Slow & Low,Bowling-friendly,Low,High,Low,157.0,162.0,150.0,7.9,7.3,30.4,29.8,48%,52%,Medium,Oval,"Dry, Dusty",63.0,Short Straight,Hot
