venue,phase,total_runs,balls,wickets,run_rate,strike_rate,balls_per_wicket
Arun Jaitley Stadium,Death Overs,923.0,609,48.0,9.0935960591133,151.559934318555,12.6875
Arun Jaitley Stadium,Middle Overs,1864.0,1536,73.0,7.28125,121.35416666666667,21.041095890410958
Arun Jaitley Stadium,Powerplay,1547.0,1199,48.0,7.741451209341117,129.02418682235194,24.979166666666668
"Arun Jaitley Stadium, Delhi",Death Overs,1243.0,755,62.0,9.878145695364239,164.63576158940398,12.17741935483871
"Arun Jaitley Stadium, Delhi",Middle Overs,2478.0,1808,84.0,8.22345132743363,137.05752212389382,21.523809523809526
"Arun Jaitley Stadium, Delhi",Powerplay,2087.0,1400,47.0,8.944285714285714,149.07142857142856,29.78723404255319
Barabati Stadium,Death Overs,526.0,318,28.0,9.924528301886792,165.40880503144655,11.357142857142858
Barabati Stadium,Middle Overs,988.0,769,30.0,7.708712613784136,128.4785435630689,25.633333333333333
Barabati Stadium,Powerplay,681.0,608,22.0,6.720394736842105,112.00657894736842,27.636363636363637
"Barsapara Cricket Stadium, Guwahati",Death Overs,237.0,142,10.0,10.014084507042252,166.90140845070422,14.2
"Barsapara Cricket Stadium, Guwahati",Middle Overs,418.0,335,18.0,7.486567164179104,124.77611940298507,18.61111111111111
"Barsapara Cricket Stadium, Guwahati",Powerplay,325.0,262,11.0,7.442748091603054,124.04580152671755,23.818181818181817
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Death Overs,886.0,602,50.0,8.830564784053157,147.17607973421926,12.04
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Middle Overs,1779.0,1514,80.0,7.0501981505944515,117.50330250990753,18.925
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Powerplay,1404.0,1167,46.0,7.218508997429306,120.30848329048843,25.369565217391305
Brabourne Stadium,Death Overs,772.0,475,43.0,9.75157894736842,162.52631578947367,11.046511627906977
Brabourne Stadium,Middle Overs,1442.0,1112,47.0,7.780575539568345,129.67625899280574,23.659574468085108
Brabourne Stadium,Powerplay,1049.0,882,30.0,7.136054421768708,118.93424036281179,29.4
"Brabourne Stadium, Mumbai",Death Overs,1162.0,743,66.0,9.3835800807537,156.39300134589502,11.257575757575758
"Brabourne Stadium, Mumbai",Middle Overs,2397.0,1823,92.0,7.8891936368623155,131.4865606143719,19.815217391304348
"Brabourne Stadium, Mumbai",Powerplay,1938.0,1491,53.0,7.798792756539235,129.97987927565393,28.132075471698112
Buffalo Park,Death Overs,164.0,117,11.0,8.41025641025641,140.17094017094016,10.636363636363637
Buffalo Park,Middle Overs,328.0,328,16.0,6.0,100.0,20.5
Buffalo Park,Powerplay,250.0,270,11.0,5.555555555555555,92.5925925925926,24.545454545454547
De Beers Diamond Oval,Death Overs,217.0,136,11.0,9.573529411764705,159.55882352941177,12.363636363636363
De Beers Diamond Oval,Middle Overs,374.0,329,17.0,6.820668693009118,113.67781155015197,19.352941176470587
De Beers Diamond Oval,Powerplay,267.0,261,11.0,6.137931034482759,102.29885057471265,23.727272727272727
Dr DY Patil Sports Academy,Death Overs,927.0,664,61.0,8.376506024096384,139.60843373493975,10.885245901639344
Dr DY Patil Sports Academy,Middle Overs,2043.0,1835,91.0,6.680108991825613,111.33514986376021,20.164835164835164
Dr DY Patil Sports Academy,Powerplay,1520.0,1494,64.0,6.104417670682731,101.74029451137885,23.34375
"Dr DY Patil Sports Academy, Mumbai",Death Overs,1350.0,915,85.0,8.852459016393443,147.54098360655738,10.764705882352942
"Dr DY Patil Sports Academy, Mumbai",Middle Overs,2833.0,2253,95.0,7.544607190412783,125.74345317354638,23.71578947368421
"Dr DY Patil Sports Academy, Mumbai",Powerplay,2016.0,1737,74.0,6.963730569948186,116.0621761658031,23.472972972972972
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Death Overs,803.0,526,56.0,9.159695817490494,152.6615969581749,9.392857142857142
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Middle Overs,1631.0,1386,67.0,7.0606060606060606,117.67676767676767,20.686567164179106
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Powerplay,1151.0,1125,40.0,6.1386666666666665,102.3111111111111,28.125
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Death Overs,157.0,92,8.0,10.239130434782608,170.65217391304347,11.5
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Middle Overs,331.0,233,13.0,8.523605150214593,142.06008583690988,17.923076923076923
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,250.0,175,7.0,8.571428571428571,142.85714285714286,25.0
Dubai International Cricket Stadium,Death Overs,3187.0,2083,170.0,9.180028804608737,153.0004800768123,12.25294117647059
Dubai International Cricket Stadium,Middle Overs,6025.0,5099,214.0,7.089625416748381,118.16042361247302,23.827102803738317
Dubai International Cricket Stadium,Powerplay,4486.0,4005,154.0,6.7205992509363295,112.00998751560549,26.006493506493506
Eden Gardens,Death Overs,4679.0,3090,253.0,9.085436893203884,151.42394822006474,12.213438735177865
Eden Gardens,Middle Overs,10148.0,8210,378.0,7.4163215590743,123.605359317905,21.719576719576718
Eden Gardens,Powerplay,7616.0,6688,247.0,6.832535885167464,113.8755980861244,27.076923076923077
"Eden Gardens, Kolkata",Death Overs,1224.0,669,51.0,10.977578475336323,182.9596412556054,13.117647058823529
"Eden Gardens, Kolkata",Middle Overs,2525.0,1787,85.0,8.477895914941243,141.29826524902072,21.023529411764706
"Eden Gardens, Kolkata",Powerplay,1990.0,1402,57.0,8.516405135520685,141.9400855920114,24.596491228070175
Feroz Shah Kotla,Death Overs,3634.0,2444,216.0,8.921440261865794,148.69067103109657,11.314814814814815
Feroz Shah Kotla,Middle Overs,7793.0,6345,268.0,7.369267139479906,122.82111899133177,23.675373134328357
Feroz Shah Kotla,Powerplay,6072.0,5161,213.0,7.059097074210425,117.65161790350706,24.230046948356808
Green Park,Death Overs,195.0,143,16.0,8.181818181818182,136.36363636363635,8.9375
Green Park,Middle Overs,562.0,425,16.0,7.934117647058824,132.23529411764704,26.5625
