venue,total_matches,total_runs,total_wickets,total_balls,avg_runs_per_match,runs_per_over,balls_per_wicket,avg_1st_innings_score,avg_2nd_innings_score
Arun Jaitley Stadium,14,4334.0,169.0,3344,309.57142857142856,7.776315789473684,19.78698224852071,168.28571428571428,155.0
"Arun Jaitley Stadium, Delhi",16,5808.0,193.0,3963,363.0,8.79333838001514,20.533678756476682,199.0625,181.625
Barabati Stadium,7,2195.0,80.0,1695,313.57142857142856,7.769911504424779,21.1875,167.71428571428572,157.71428571428572
"Barsapara Cricket Stadium, Guwahati",3,980.0,39.0,739,326.6666666666667,7.956698240866035,18.94871794871795,180.0,159.66666666666666
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,4069.0,176.0,3283,290.64285714285717,7.436491014316175,18.65340909090909,165.42857142857142,152.15384615384616
Brabourne Stadium,10,3263.0,120.0,2469,326.3,7.929526123936816,20.575,180.4,167.7
"Brabourne Stadium, Mumbai",17,5497.0,211.0,4057,323.3529411764706,8.129652452551147,19.22748815165877,177.41176470588235,165.1764705882353
Buffalo Park,3,742.0,38.0,715,247.33333333333334,6.2265734265734265,18.81578947368421,147.33333333333334,119.0
De Beers Diamond Oval,3,858.0,39.0,726,286.0,7.090909090909091,18.615384615384617,158.0,141.0
Dr DY Patil Sports Academy,17,4490.0,216.0,3993,264.11764705882354,6.746806912096169,18.48611111111111,146.64705882352942,136.2941176470588
"Dr DY Patil Sports Academy, Mumbai",20,6199.0,254.0,4905,309.95,7.582874617737003,19.311023622047244,170.7,157.95
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,3585.0,163.0,3037,275.7692307692308,7.082647349357919,18.631901840490798,157.46153846153845,130.69230769230768
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,738.0,28.0,500,369.0,8.856,17.857142857142858,231.5,168.5
Dubai International Cricket Stadium,46,13698.0,538.0,11187,297.7826086956522,7.3467417538214,20.79368029739777,163.7608695652174,149.08695652173913
